,saved_model,model,loss,accuracy,gauss_blur
0,InceptionV3_(2023-04-07)_0,InceptionV3,0.5897654354572296,0.8695651888847351,1
1,InceptionV3_(2023-04-07)_0,InceptionV3,0.6692057847976685,0.8550724387168884,3
2,InceptionV3_(2023-04-07)_0,InceptionV3,0.7896425008773804,0.8405796885490417,5
3,InceptionV3_(2023-04-07)_0,InceptionV3,1.0494293093681335,0.8188405632972717,7
4,InceptionV3_(2023-04-07)_0,InceptionV3,1.2758109807968139,0.782608687877655,9
5,InceptionV3_(2023-04-07)_0,InceptionV3,1.4962961554527283,0.739130437374115,11
6,InceptionV3_(2023-04-07)_0,InceptionV3,1.8432701110839844,0.6739130616188049,13
7,InceptionV3_(2023-04-07)_0,InceptionV3,2.4035842418670654,0.5942028760910034,15
8,InceptionV3_(2023-04-07)_0,InceptionV3,3.0523616790771486,0.52173912525177,17
9,InceptionV3_(2023-04-07)_0,InceptionV3,3.72802894115448,0.47101449966430664,19
10,InceptionV3_(2023-04-07)_0,InceptionV3,4.479701519012451,0.3333333432674408,21
11,InceptionV3_(2023-04-07)_0,InceptionV3,5.346041011810303,0.2028985470533371,23
12,InceptionV3_(2023-04-07)_0,InceptionV3,6.283002185821533,0.08695652335882187,25
13,InceptionV3_(2023-04-07)_0,InceptionV3,7.051778650283813,0.07246376574039459,27
14,InceptionV3_(2023-04-07)_0,InceptionV3,7.634408760070801,0.07246376574039459,29
15,InceptionV3_(2023-04-07)_0,InceptionV3,8.071283054351806,0.07246376574039459,31
16,InceptionV3_(2023-04-07)_0,InceptionV3,8.398069190979005,0.07246376574039459,33
17,InceptionV3_(2023-04-07)_0,InceptionV3,8.634452152252198,0.07246376574039459,35
18,InceptionV3_(2023-04-07)_0,InceptionV3,8.806800651550294,0.07246376574039459,37
19,InceptionV3_(2023-04-08)_0,InceptionV3,0.6177405953407288,0.8478260636329651,1
20,InceptionV3_(2023-04-08)_0,InceptionV3,0.6188267886638641,0.8550724387168884,3
21,InceptionV3_(2023-04-08)_0,InceptionV3,0.6728919327259064,0.8550724387168884,5
22,InceptionV3_(2023-04-08)_0,InceptionV3,0.8549552500247956,0.7971014380455017,7
23,InceptionV3_(2023-04-08)_0,InceptionV3,1.1171426177024841,0.7318840622901917,9
24,InceptionV3_(2023-04-08)_0,InceptionV3,1.4997370839118958,0.6811594367027283,11
25,InceptionV3_(2023-04-08)_0,InceptionV3,2.0451128005981447,0.5942028760910034,13
26,InceptionV3_(2023-04-08)_0,InceptionV3,2.6181721687316895,0.5362318754196167,15
27,InceptionV3_(2023-04-08)_0,InceptionV3,3.3366137027740477,0.4202898442745209,17
28,InceptionV3_(2023-04-08)_0,InceptionV3,4.085102319717407,0.3188405930995941,19
29,InceptionV3_(2023-04-08)_0,InceptionV3,4.890910911560058,0.18115942180156708,21
30,InceptionV3_(2023-04-08)_0,InceptionV3,5.552674865722656,0.13768115639686584,23
31,InceptionV3_(2023-04-08)_0,InceptionV3,5.980285930633545,0.10144927352666855,25
32,InceptionV3_(2023-04-08)_0,InceptionV3,6.2530614852905275,0.07971014827489853,27
33,InceptionV3_(2023-04-08)_0,InceptionV3,6.413359022140503,0.07971014827489853,29
34,InceptionV3_(2023-04-08)_0,InceptionV3,6.500082111358642,0.07246376574039459,31
35,InceptionV3_(2023-04-08)_0,InceptionV3,6.54501051902771,0.07246376574039459,33
36,InceptionV3_(2023-04-08)_0,InceptionV3,6.558973026275635,0.07246376574039459,35
37,InceptionV3_(2023-04-08)_0,InceptionV3,6.547987604141236,0.07246376574039459,37
38,InceptionV3_(2023-04-08)_1,InceptionV3,0.5247721910476685,0.8695651888847351,1
39,InceptionV3_(2023-04-08)_1,InceptionV3,0.6647214770317078,0.8478260636329651,3
40,InceptionV3_(2023-04-08)_1,InceptionV3,0.8256242036819458,0.8188405632972717,5
41,InceptionV3_(2023-04-08)_1,InceptionV3,1.1400494575500488,0.7681159377098083,7
42,InceptionV3_(2023-04-08)_1,InceptionV3,1.4674276828765869,0.760869562625885,9
43,InceptionV3_(2023-04-08)_1,InceptionV3,1.8551855087280273,0.7101449370384216,11
44,InceptionV3_(2023-04-08)_1,InceptionV3,2.3905800104141237,0.5869565010070801,13
